"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade"
NA,367,NA,367,"CIP 760456","","",-16.9167,-65.3667,259,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,368,NA,368,"CIP 760225","","",-20.4,-65.3,3579,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,369,NA,369,"CIP 761376","","",-21.7833,-65.1833,2710,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,370,NA,370,"CIP 764228","","",-23.6,-65.1333,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,371,NA,371,"CIP 761385","","",-21.95,-65.1158,3853,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,377,NA,377,"CIP 760296","","",-21.7522,-65.0111,3700,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,682,NA,682,"472639","","",-23.196984,-65.685554,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,684,NA,684,"472642","","",-23.233334,-65.549999,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,685,NA,685,"472643","","",-22.403406,-64.916153,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,686,NA,686,"472646","","",-22.166667,-65.366665,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,688,NA,688,"472649","","",-22.349999,-65.066669,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,689,NA,689,"472651","","",-21.95,-66.164888,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,691,NA,691,"472681","","",-22.601083,-66.338333,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
