"SP1","niche.bio1me","niche.bio2me","niche.bio4me","niche.bio12me","niche.bio15me","Specimens","breadth","logbreadth","sqrbreadth","mean.bio1","mean.bio2","mean.bio4","mean.bio12","mean.bio15","subClade","PClade","genomeSize","genomeSizeMethod","Ploidy","gsMono"
"kurtzianum",0.702958944281524,0.319982658959538,0.405578530484627,0.0998463640184952,0.655230486008836,82,2.18359698375302,0.780973509606056,1.47769989637714,13.4207317073171,11.1926829268293,4.80126829268293,417.280487804878,77.4512195121951,"Petota","4 South",1.75,"FCM","Diploid",0.875
"laxissimum",0.540384164222873,0.233398843930636,0.069920062532569,0.335527847835225,0.327325478645066,28,1.50655639716637,0.409826514776241,1.22741859085088,14.7142857142857,8,0.739357142857143,2101.10714285714,63.8142857142857,"Petota","4 South",1.81,"FCM","Diploid",0.905
"lesteri",0.158357771260997,0.127167630057803,0.055862428348098,0.109079445145019,0.0316642120765832,5,0.4821314868885,-0.729538407758674,0.694356887262235,15.79,10.82,1.3126,1041.6,90.44,"Petota","1+2",1.3,"FCM","Diploid",0.65
"lignicaule",0.260997067448679,0.15606936416185,0.0333507034914018,0.147225725094578,0.14580265095729,8,0.743445511153798,-0.296459802716036,0.862232863647517,10.925,8.5625,0.79,1168.625,83.3375,"Petota","4 North",1.78,"FCM","Diploid",0.89
"longiconicum",0.480636363636362,0.182225433526012,0.0408111516414799,0.136741277847835,0.24960824742268,17,1.09002247407437,0.0861983144453485,1.04404141396516,13.9029411764706,6.7,0.648941176470588,4231.05882352941,46.2235294117647,"Petota","4 North",3.29,"FCM","Tetraploid",0.8225
"loxophyllum",0.331697947214076,0.160410404624277,0.0572359562272017,0.506451555275326,0.415935198821797,13,1.47173106216268,0.386439301279442,1.21314923326138,19.1115384615385,5.86923076923077,0.428615384615385,3556.53846153846,46.8076923076923,"Herpystichum","",2.04,"LocoGSE","Diploid",1.02
"medians_24",0.431140762463342,0.246774566473988,0.0833600833767587,0.0954417822614544,0.350888807069219,16,1.20760600164476,0.188639888732833,1.09891128015175,12.26875,8.78125,0.5144375,627.8125,90.21875,"Petota","4 North",1.74,"FCM","Diploid",0.87
"microdontum_24",0.50432551319648,0.273884393063584,0.252053256904638,0.200160571668768,0.312320324005891,29,1.54274405883936,0.433562687191926,1.24207248534027,12.2534482758621,9.45862068965517,2.57689655172414,1378.27586206897,89.0931034482759,"Petota","4 South",1.68,"FCM","Diploid",0.84
"mite",0.537812316715542,0.182109826589595,0.190743408025013,0.508257250945776,0.452565537555228,107,1.87148833983115,0.626734017956165,1.36802351581804,22.7210280373832,7.25607476635514,0.79718691588785,2303.43925233645,43.992523364486,"Pteroidea","",2.41,"LocoGSE","Diploid",1.205
"mochiquense",0.362636363636363,0.315959537572254,0.234010838978635,0.164401849516604,0.333296023564065,22,1.41030461326792,0.343805718835943,1.18756246710138,17.0318181818182,7.58181818181818,0.892590909090909,631.727272727273,81.8681818181818,"Petota","3",2.04,"FCM","Diploid",1.02
"morelliforme",0.484900293255131,0.41106936416185,0.20197113079729,0.344468053804119,0.330179675994109,30,1.7725885180125,0.572440917817541,1.33138593879179,16.1133333333333,10.2566666666667,1.57886666666667,1619.36666666667,85.0233333333333,"Petota","1+2",2.02,"FCM","Diploid",1.01
"multifidum",0.31949560117302,0.338387283236994,0.261459614382491,0.0696372425388819,0.675278350515464,35,1.66425809184685,0.509379433645096,1.29006127445438,18.2842857142857,5.44571428571429,1.81951428571429,108.771428571429,68.9771428571429,"Regmandra","",2.25,"LocoGSE","Diploid",1.125
"multiinterruptum_24",0.510580645161289,0.225843930635838,0.0500986972381449,0.133082597730139,0.306242268041237,18,1.22584813880665,0.203632962636826,1.10718026481989,9.16111111111114,8.85,0.301222222222222,1030.66666666667,78.4388888888889,"Petota","3",1.84,"FCM","Diploid",0.92
"neocardenasii",0.228739002932551,0.15606936416185,0.0406461698801459,0.0937368642286675,0.25920471281296,5,0.778396114016175,-0.250519740393904,0.88226759773675,18.69,8.76,2.067,834.6,70.76,"Petota","4 South",1.78,"FCM","Diploid",0.89
"neorickii",0.407354838709677,0.165485549132948,0.0845057842626368,0.17331683480454,0.412737849779087,20,1.24340085668889,0.217850251841835,1.11507885671323,15.57,8.62,0.57625,1194.9,62.285,"Tomato","",1.9,"FCM","Diploid",0.95
"neorossii",0.223387096774192,0.454543352601156,0.206321417404898,0.150534258091635,0.271941089837997,14,1.30672721470988,0.267525701848872,1.14312169724395,9.75000000000002,10.8928571428571,2.65192857142857,1234.28571428571,101.742857142857,"Petota","4 South",1.62,"FCM","Diploid",0.81
"okadae",0.363712609970673,0.277017341040462,0.0510361646690985,0.247853614964271,0.213947717231222,10,1.15356744787573,0.14285926928957,1.07404257265517,11.59,9.2,1.5321,1752.9,72.49,"Petota","4 South",1.62,"FCM","Diploid",0.81
"oxycarpum",0.376630498533724,0.351728323699422,0.0966206357477853,0.286703551912568,0.205511045655376,20,1.31719405554888,0.275503758564911,1.14769074909092,16.355,9.365,1.86425,1684.75,78.035,"Petota","4 North",3.59,"FCM","Tetraploid",0.8975
"oxycoccoides",0.314395894428151,0.0824682080924855,0.0538240750390829,0.115459226565784,0.15739764359352,10,0.723545047719024,-0.323592471242782,0.850614511820145,8.49000000000003,9.48,0.4171,1462.2,71.83,"Oxycoccoides","",1.81,"LocoGSE","Diploid",0.905
"pacificum",0.0410557184750733,0.0346820809248555,0.0264721208963002,0.23245060949979,0.19219440353461,3,0.526854933330628,-0.640830037156528,0.725847734260174,23.4833333333333,5.26666666666667,0.578,3084.33333333333,80.6,"Herpystichum","",2.65,"LocoGSE","Diploid",1.325
"palustre",0.311683284457477,0.43635838150289,0.321376341844711,0.330317780580076,0.330832842415317,58,1.73056863080047,0.548450042827485,1.31551078703311,8.7189655172414,8.61896551724138,3.92805172413793,2496.34482758621,63.3431034482759,"Etuberosum","",1.61,"FCM","Diploid",0.805
"paucissectum",0.35190615835777,0.0346820809248555,0.0313705054715998,0.0452921395544346,0.192930780559647,9,0.656181664868307,-0.421317600222665,0.810050408843985,16.7055555555556,9.15555555555556,0.313,1098.66666666667,82.6333333333333,"Petota","3",1.91,"FCM","Diploid",0.955
"pennellii",0.508146627565981,0.480433526011561,0.275149661281918,0.101744955863808,0.72670324005891,36,2.09217801078218,0.738205633778696,1.44643631411209,18.0305555555556,7.325,1.13152777777778,318.916666666667,90.1055555555556,"Tomato","",2.65,"FCM","Diploid",1.325
"peruvianum",0.486873900293254,0.498647398843931,0.306672850442939,0.137713219840269,0.788575110456554,45,2.21848247987695,0.79682339452232,1.48945710910954,17.0366666666667,6.17111111111111,1.77708888888889,248.066666666667,74.6733333333333,"Tomato","",2.18,"FCM","Diploid",1.09
"pimpinellifolium",0.583853372434016,0.57307514450867,0.269615007816571,0.392791193778899,0.751382916053019,107,2.57071763459118,0.944185095177707,1.60334576264484,20.7799065420561,6.97009345794392,1.19216822429907,851.598130841121,86.8794392523365,"Tomato","",1.96,"FCM","Diploid",0.98
"pinnatisectum",0.146428152492669,0.179479768786127,0.0876941115164148,0.0811010928961749,0.153060382916053,22,0.647763508607438,-0.434229605095176,0.80483756659803,18.3954545454545,12.9818181818182,2.22340909090909,743.818181818182,101.722727272727,"Petota","1+2",1.32,"FCM","Diploid",0.66
"piurae",0.378299120234604,0.0520231213872833,0.156018759770714,0.10708280790248,0.282032400589102,5,0.975456209884183,-0.024850009845382,0.987651866744646,17.05,9,0.591,1225.4,91.94,"Petota","3",1.88,"FCM","Diploid",0.94
"polyadenium",0.343041055718474,0.261936416184971,0.105008233454924,0.222597730138714,0.267535346097202,24,1.20011878159429,0.182420536557201,1.09549932980093,15.85,11.5791666666667,1.92229166666667,1166.25,88.325,"Petota","1+2",1.38,"FCM","Diploid",0.69
"raphanifolium",0.42632258064516,0.355190751445087,0.0564177175612298,0.354585750315259,0.269857879234168,41,1.4623746792009,0.380061607017045,1.20928684736125,8.13780487804881,9.84390243902439,0.980024390243902,1437.9512195122,84.0780487804878,"Petota","4 North",1.72,"FCM","Diploid",0.86
"savanillense",0.228739002932551,0.0982658959537572,0.042313705054716,0.21469104665826,0.269513991163476,6,0.85352364176276,-0.158382037350653,0.923863432419944,14.55,7.55,0.604833333333333,2021.66666666667,41.3,"Pteroidea","",2.41,"LocoGSE","Diploid",1.205
"schenckii",0.214369501466276,0.239439306358381,0.132851380927566,0.145077343421606,0.237374815905744,13,0.969112348079573,-0.0313747315215777,0.984435040050675,17.9115384615385,10.9,1.50707692307692,1140.46153846154,83.9076923076923,"Petota","4 South",4.64,"FCM","Hexaploid",0.773333333333333
"skutchii",0.0087976539589443,0.0115606936416185,0.00823345492443983,0.00977301387137453,0.00736377025036819,2,0.0457285866467453,-3.08503164826813,0.213842434158296,19.9,8.4,2.4355,2103.5,65.6,"Anarrhichomenum","",1.14,"LocoGSE","Diploid",0.57
"sodiroi",0.527859237536656,0.202312138728324,0.0560708702449192,0.354981084489281,0.251840942562592,9,1.39306427356177,0.331505834122158,1.1802814382857,13.9833333333333,7.7,0.389333333333333,2502.11111111111,33.9666666666667,"Anarrhichomenum","",1.5,"LocoGSE","Diploid",0.75
"stenophyllidium",0.353272727272727,0.188815028901734,0.465776550286608,0.107125683060109,0.249840206185567,45,1.36483019570675,0.31103002214912,1.16825947276568,16.9233333333333,13.7177777777778,3.87686666666667,644.622222222222,99.8577777777778,"Petota","1+2",1.77,"FCM","Diploid",0.885
"stipuloideum",0.533595307917887,0.368988439306358,0.104225429911412,0.214512189995797,0.328160530191458,41,1.54948189732291,0.43792061526223,1.24478186736589,12.5182926829268,9.69268292682927,1.5210487804878,1415.70731707317,74.4024390243902,"Petota","4 South",1.78,"FCM","Diploid",0.89
"stoloniferum",0.549445747800585,0.510040462427746,0.710758520062532,0.200549810844893,0.648018409425626,304,2.61881295056138,0.962721142799921,1.61827468328507,15.0763157894737,13.0832236842105,4.13294078947368,704.901315789474,87.4486842105263,"Petota","4 South",3.33,"FCM","Tetraploid",0.8325
"suaveolens",0.363173020527859,0.27814450867052,0.147573840541949,0.327962379150904,0.54930117820324,32,1.66615492709447,0.510518532875093,1.2907962376357,21.4875,7.5,0.81425,1961.65625,54.034375,"Basarthrum","",2.63,"FCM","Diploid",1.315
