"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,289,NA,289,"CIP 761347","","",-15.75,-69.0667,3854,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,290,NA,290,"CIP 764382","","",-16.2444,-69.0419,3841,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,292,NA,292,"CIP 762821","","",-16.2608,-69.0103,3823,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,293,NA,293,"CIP 760593","","",-15.4667,-69,3599,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,294,NA,294,"CIP 760862","","",-16.45,-68.8667,3877,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,295,NA,295,"CIP 761336","","",-16.2167,-68.8333,3824,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,296,NA,296,"CIP 762301","","",-15.9667,-68.7167,3823,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,297,NA,297,"CIP 760594","","",-16.0256,-68.7039,3599,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,298,NA,298,"CIP 760332","","",-16.55,-68.7,3838,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,299,NA,299,"CIP 760591","","",-16.05,-68.6833,3848,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,303,NA,303,"CIP 760589","","",-15.7667,-68.6333,3550,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,304,NA,304,"CIP 760316","","",-17.0167,-68.6167,3925,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,305,NA,305,"CIP 761290","","",-16.1667,-68.5667,3930,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,309,NA,309,"CIP 761294","","",-16.0667,-68.4667,4511,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,310,NA,310,"CIP 760314","","",-17.1667,-68.45,3988,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,312,NA,312,"CIP 762163","","",-14.6778,-68.3567,4368,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,317,NA,317,"CIP 764301","","",-16.65,-68.3,NA,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,318,NA,318,"CIP 762297","","",-15.3,-68.25,593,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,319,NA,319,"CIP 762299","","",-15.5478,-68.1789,4413,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,323,NA,323,"CIP 760212","","",-17.2333,-67.9167,3813,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,325,NA,325,"CIP 760873","","",-18.1,-67.7833,3982,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,326,NA,326,"CIP 766106","","",-17.11666667,-67.7,4020,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,327,NA,327,"CIP 760585","","",-17.05,-67.6667,2600,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,329,NA,329,"CIP 760807","","",-17.5,-67.4667,3916,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,330,NA,330,"CIP 760581","","",-17.1333,-67.3333,4558,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,331,NA,331,"CIP 762307","","",-17.0833,-67.3167,4496,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,332,NA,332,"CIP 760571","","",-17.0333,-67.25,4465,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,334,NA,334,"CIP 761350","","",-16.9833,-67.2167,3042,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,335,NA,335,"CIP 760882","","",-17.65,-67.1667,3783,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,336,NA,336,"CIP 760897","","",-18.1,-67.1333,3708,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,337,NA,337,"CIP 761404","","",-18.1667,-67.0333,3720,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
